연번,시도명,시군구명,축제명,"2019년
개최기간",축제주요내용,"주최/주관
(담당자 연락처)","최초개최년도
및 횟수","2019년
축제예산",국비,"시,도비","구,군비",기타,"국비지원
부처명",세부사업명,"축제종류
(택1)",문화관광축제 여부,축제소재,개최주기,조직형태,"축제사무국
상설화여부 ","사업위탁
운영여부",합 계,내국인,외국인,개최장소
67,서울특별시,중구,제4회충무로뮤지컬영화제," 7.5~7.14 
(10일간)"," - 개폐막작 및 8개 섹션,40편 상영
 - 공식 개·폐막식, 초청작 상영, 야외상영, 심야상영 등","중구중구문화재단
(02-2230-6641)","2016년
(3회)",790(미확정),0,240,550,0,,,문화예술,지역축제,영화,매년,재단법인,"있음
총 18명",부분위탁,37,37,0,"충무아트센터, DDP 일대"
68,서울특별시,서대문구,서대문독립민주축제,8.14~8.15," ○ 생존독립민주지사 풋프린팅
 ○ 독립과 민주를 테마로한 체험, 교육프로그램 운영
 ○ 개막공연, 역사콘서트 등 문화공연","서대문구 문화체육과
/ 독립민주페스티벌추진위원회
(02-330-1423)","2010년도
(10회)",238,0,30,208,0,,,전통역사,지역축제,"독립민주역사
서대문형무소
역사관",매년,축제조직위,없음,"부분위탁
(하드웨어)",50,,,유적지
69,서울특별시,서대문구,"신촌크리스마스
거리축제",12.22~25,"○ 크리스마스 콘서트
○ 크리스마스 거리가게(마켓&체험부스)운영
○ 개막식 및 오프닝 축하공연
○ 키즈존, 포토존 등 이벤트 운영","서울특별시 서대문구
/문화체육과
(02-330-1003)","2013년
(7회)",155,0,15,140,0,,,문화예술,지역축제,크리스마스,매년,공공(시군구),없음,자체추진,20,,,거리
70,서울특별시,서대문구,제7회 신촌물총축제,7.6~7.7,"○ 물총싸움, 퍼포먼스, 어린이 놀이터 
○ 디제잉 공연, 버블파티, 기타 이벤트","무언가
(02-330-8161)","2013년도
(6회)",290,0,220,0,70,,,문화예술,지역축제,물총,매년,임의단체,없음,"부분위탁
(하드웨어)",50,,,시내거리
71,서울특별시,서대문구,안산 벚꽃음악회,4.12~4.15,"○ 음익회, 지역예술단 공연, 아트마켓 등 ","서울특별시 서대문구
/문화체육과
(02-330-1003)","2011년도
(9회)",55,0,10,45,0,,,문화예술,지역축제,벚꽃,매년,공공(시군구),없음,자체추진,30,,,"연희 벚꽃쉼터
벚꽃마당"
72,서울특별시,서대문구,프랑스 거리음악축제,6.22.~23.,프랑스 대중가수 특별공연 및 프랑스 문화홍보,서대문구 문화체육과(02-330-1438),2017년도(3회),35,0,0,35,0,,,문화예술,지역축제,프랑스,매년,공공(시군구),없음,"부분위탁
(하드웨어)",5,,,시내거리
73,서울특별시,서대문구,신촌맥주축제,9.7.~9.9.,도심속에서 즐기는 신나는 맥주축제,서대문구 문화체육과(02-330-1809),2015년도(5회),4,0,0,4,0,,,문화예술,지역축제,맥주,매년,공공(시군구),없음,"부분위탁
(하드웨어)",100,,,시내거리
74,서울특별시,서대문구,중국대사관연계행사,9.21.~9.22.,중국 문화체험 및 전통공연,서대문구 문화체육과(02-330-1438),2019년도(1회),10,0,0,10,0,,,문화예술,지역축제,중국,일회성,공공(시군구),없음,"부분위탁
(하드웨어)",-,,,시내거리
75,서울특별시,서대문구,신촌댄스경연대회,9.28.~9.29.,일반부/학생부 참가자들의 창작댄스 경연대회,서대문구 문화체육과(02-330-1809),2016년도(4회),54,27,0,60,0,,,문화예술,지역축제,댄스,매년,공공(시군구),없음,"부분위탁
(하드웨어)",2,,,광장
76,서울특별시,서대문구,서대문 책으로 책축제,9.27~9.28," 책이 빚나는 밤에, 독서·전시존 운영, 어른동화 콘서트,  플리마켓, 체험프로그램 운영","서대문구청 문화체육과
/ 서대문구립이진아기념도서관
(02-330-1115)",2012(8회),40,0,0,40,0,,,주민화합,지역축제,매년,매년,공공(시군구),없음,전체위탁,13,,,공원
77,서울특별시,동작구,제7회 도심 속 바다축제,10.12~13,"○ 먹거리장터, 맨손활어잡기, 모의경매, 바다콘서트 및 체험프로그램 등","동작구 체육문화과/동작문화재단
(02-820-9657)",2011(7회),334,0,110,164,60,,,기타,지역축제,수산물,매년,축제추진위원회,"있음(비상설, 비정규 3명)","부분위탁
(운영 프로그램)",400,350,50,노량진수산시장
78,서울특별시,동작구,"제2회 노량진의 밤 
야간난전","6월 셋째주 
예정(2일)"," 젊은이들의 도전을 응원
 희망등 켜기, 미래의 나에게 보내는 메시지, 먹거리 장터 등","동작구 체육문화과/
야간난전 주민협의체
(02-820-9657)",2018,68,0,68,0,0,,,기타,지역축제,컵밥거리,매년,주민협의체,무,부분위탁,50,50,,시내거리
79,서울특별시,금천구,금천하모니벚꽃축제2019,"4.12~4.13
(예정)","? 메인 : 주민이 만드는 개막공연, 우리동네슈퍼스타 등
? 부대 : 문화시장(체험, 장터, 먹거리), 버스킹 등
? 연계 : 사생대회, 야외조각전 등","금천구·금천문화재단/ 
축제거버넌스
(02-2627-1445)","2003년도
(15회)",95,0,확보예정,95,0,,,문화예술,지역축제,"벚꽃, 음악 등",매년,축제조직위,없음,자체추진,30,30,,구청광장 등
80,서울특별시,금천구,"정조대왕 능행차 
공동재현 행사",10월중,"? 행렬 : 서울과 경기도를 연결하는 지역적 가치를 역사적
              고증내용으로 재구성하여 부각
? 격쟁 : 격쟁 재현 상황극
? 공연 : 금천구민의 다양한 무대공연 및 전통행사 공연","금천구/ 축제추진위원회
(02-2627-1452)","2016년도
(3회)",62,0,0,62,0,,,전통역사,지역축제,정조대왕,매년,축제조직위,없음,자체추진,7,7,,은행나무로 및 시흥행궁 일대
81,서울특별시,금천구,제9회 금천구 북페스티벌,"5월말 예정
(1일간)"," ○ 책과 도서관을 주제로 다양한 체험활동 부스 운영
 ○ 지역 주민이 기증한 도서를 함께 나누는 책장터 진행 
 ○ 작은도서관협의회 참여를 통한 민관 협력 행사 
 ○ 명사초청 북콘서트 및 그림책 공연 ","금천구 / 금천문화재단
(02-2627-2852)","2011년
(9회)",15,0,6,9,0,,,문화예술,지역축제,독서,매년,재단법인,"있음
(임시조직)",전체위탁,1,1,,"금천구청
광장"
82,서울특별시,금천구,제10회 동화 속 책잔치,"10.12
(1일간)"," ○ 메인행사 : 마당놀이, 도서관(단체)별 체험부스 운영
 ○ 연계행사 : 페이스페인팅, 축하공연 등","금천구 / 금천작은도서관협의회
(02-2627-2853)","2010년
(10회)",7,0,0,7,0,,,문화예술,지역축제,독서,매년,시민단체,"있음
(임시조직)",전체위탁,1,1,,"산기슭공원
(시흥4동)"
83,서울특별시,금천구,금천생활문화축제 엄청나,10.26.(예정)," ○ 전시 : 생활문화 시각예술 동아리 11팀 (회화, 공예, 미디어아트 등)
 ○ 공연 : 생활문화 공연예술 동아리  27팀 (태권무, 뮤지컬, 통기타 등)","금천구
/ 금천문화재단
(02-809-8238)","2016년도
(4회)",20,0,20,0,0,,,문화예술,지역축제,생활예술,매년,공공(구),없음,자체추진,0,0,,"공연장, 전시장"
84,서울특별시,금천구,사회적경제한마당,"2019.10.24.
(1일)"," ○ 사회적경제 및 마을공동체, G밸리 기업 홍부 부스 운영 
 ○ 참여자간 네트워킹 및 문화예술 공연 추진","금천구 사회적경제 지원센터
(070-4432-3793)","2011년
(8회)",20,0,0,20,0,,,기타,지역축제,"먹거리, 의류, 액세서리 등등",매년,공공(시군구),없음,전체위탁,2,2,,가산동우림라이온스밸리 광장
85,서울특별시,성동구,응봉산개나리축제,"3.29~3.31
(3일간)","○ 그림그리기 및 가족백일장 대회
○ 암벽등반체험, 사진 및 시화 전시
○ 주제공연 및 문화공연, 개나리식목행사
○ 기타 먹거리 장터","성동구 문화체육과
(02-2286-5203)","1997년도
(22회)",40,0,"25
(공모중)",15,0,,,문화예술,지역축제,"개나리꽃, 응봉산",매년,"공공,재단법인",없음,부분위탁,14,14,0,"공원, 산, 기타"
86,서울특별시,성동구,태조이성계축제,"9.27~9.28
(2일간)","○ 이성계사냥행차 재연
 ○ 살곶이다리(보물제1738호)를 테마로한 공연
 ○ 개폐막 공연, 사냥을 주제로 한 체험프로그램
 ○ 기타 먹거리장터 ","성동구 문화체육과
(02-2286-5203)","2017년
(3회)",164,0,"150
(공모중)",14,0,,,전통역사,지역축제,"태조이성계, 살곶이다리문화재, 사냥",매년,"공공,재단법인",없음,부분위탁,10,10,0,"광장, 시내거리, 운동장, 기타"
87,서울특별시,송파구,석촌호수 벚꽃축제,"4.5~4.12
(8일간)","○ 벚꽃콘서트, 벚꽃공연, 벚꽃영화제
○ 벚꽃조명길, 벚꽃은하수길, 벚꽃포토존
○ 벚꽃체험, 마켓","서울특별시 송파구 문화체육과
(02-2147-2815)","2004년도
(15회)",200,0,0,0,200,,,생태자연,지역축제,벚꽃,매년,공공(시군구),없음,자체추진,57만 명,,,석촌호수 일대
88,서울특별시,송파구,한성백제문화제,"9.27-9.29
(3일간)","○ 역사문화거리행렬
○ 한성백제체험마을
○ 한성백제갈라퍼레이드
○ 혼불채화식
○ 동명제
○ 한성백제 몽촌해자 수변음악회
○ 전국청소년동아리경연대회
○ 몽촌해자 수변무대
○ 각종 체험 및 전시 등",송파구 문화체육과(02-2147-2831)/한성백제문화제추진위원회,"1994년도
(19회)",970,0,0,500,470,,,전통역사,지역축제,한성백제,매년,공공(시군구),없음,자체추진,450만 명,,,"올림픽공원 평화의 문 일대, 석촌동고분 등"
89,서울특별시,송파구,석촌호수 단풍&낙엽축제,11월중(미정),"○ 가을 테마 공연
○ 단풍&낙엽 포토존, 야간경관조명 전시
○ 단풍&낙엽 체험프로그램
○ 바스락낙엽길, 송파가을풍경 사진전","서울특별시 송파구 국제관광과
(02-2147-2116)","2016
(4회)",80(예정),0,30,50,0,,,생태자연,지역축제,단풍,매년,공공(시군구),없음,자체추진,15만명,15만명,,석촌호수 일대
90,서울특별시,송파구,오금동 성내천축제,"4.13~4.14
(2일간)","○ 주민노래자랑
○ 자치회관 프로그램 발표회
○ 물빛음악회
○ 북 페스티벌(도서교환 및 할인전)
○ 청소년 체험부스
○ 농산물 직거래장터
○ 먹거리장터","오금동성내천축제공동추진위원회
(02-2147-4278)","2008년도
(12회)",50,0,10,0,40,,,문화예술,지역축제,성내천,매년,축제조직위,없음,자체주진,20,20,,성내천 물빛광장 일대
91,서울특별시,시자체,제21회 서울 드럼 페스티벌,"5.24~5.25
(2일간)","○ 드럼경연 수상자 특별공연
○ 드럼경연 수상자 시상식
○ 개막식 공연
○ 아티스트 공연(해외 및 국내팀)
○ 시민참여 공연, 마스터클래스 등","서울특별시 문화예술과
(02-2133-2574)","1999년도
(21회)",420,0,420,0,0,,,문화예술,지역축제,드럼 및 타악,매년,공공(시군구),없음,자체추진,50,,,"서울광장, 마포문화비축기지"
92,서울특별시,시자체,2019 서울 문화로 바캉스,"8.10~8.11
(2일간)","○ 영화음악제
○ 디자인그래픽 경연
○ 눈 조각전
○ 문화시설 아트바캉스(문화시설별 자체 프로그램 및 예술영화 상영)","서울특별시 문화예술과
(02-2133-2571)","2008년도
(12회)",522,0,522,0,0,,,문화예술,지역축제,바캉스,매년,공공(시군구),없음,자체추진,60,,,"서울광장, 청계광장, 광화문광장 등"
93,서울특별시,시자체,제6회 서울김장문화제,"11.1~11.3
(3일간)","○ 김장나눔 행사(3일간)
○ 우리집 김장간, 외국인 김장간, 셰프의 김장간
○ 김장뮤지엄 및 100가지 김치전
○ 김치상상놀이터, 김치 스트리트","서울특별시 문화예술과
(02-2133-2570)","2014년도
(6회)",930,0,930,0,0,,,문화예술,지역축제,김장,매년,공공(시군구),없음,자체추진,100,,,"서울광장, 무교로 일대"
