,0,블로그 크롤링 결과,뉴스 크롤링 결과
43,대학로문화축제," <dd class=""sh_blog_passage"">후회되는 말과 행동을 여기에 버리세요""라는 공간엔 마음부터 환경적인 요소를 동시에 생각하게 하는 대학로였다. <strong class=""hl"">대학로 문화축제</strong>에 특별한 공간을 보게 했다....</dd><dd class=""sh_blog_passage"">제 18회 <strong class=""hl"">대학로문화축제</strong> ""마이웨이빌리지""가 끝이 났습니당ㅠㅠ 모두들 잘 즐겨주셨나요~~? ㅎㅎ 오늘 포스팅에서는 축제 전날 준비과정과 축제 첫날에 대해 다뤄보려고...</dd>"," <dd>서울 종로구(구청장 김영종)는 서울 종로구 동숭동 혜화역 일대에서 23일부터 25일까지 대학생들이 직접 기획하고 만드는 '제18회 <strong class=""hl"">대학로문화축제</strong>'를 개최한다. <strong class=""hl"">대학로문화축제</strong>는 <strong class=""hl"">대학로 문화</strong>지구 활성화를 목표로...</dd><dd>오는 23일부터 25일까지 종로구 <strong class=""hl"">대학로</strong>일대에서 제18회 <strong class=""hl"">대학로문화축제</strong>를 개최합니다. (자료화면) 이번 행사는 30여개 대학생들이 기획단을 구성해 <strong class=""hl"">문화축제</strong>를 주관합니다. <strong class=""hl"">축제</strong> 주요 공연으로는 아시아 대학생 공연...</dd>"
44,종로한복축제," <dd class=""sh_blog_passage"">[ 포토존 ] 조선시대 여인의 방을 재현한 2019 <strong class=""hl"">종로한복축제</strong> 포토존! 곱고 예쁜 한복을 입으신 분들을 대상으로 포토콘테스트도 진행하였는데요! 축제장에 찾아주신...</dd><dd class=""sh_blog_passage"">이번에 <strong class=""hl"">종로한복축제</strong> 한다는데 한복입고 <strong class=""hl"">종로한복축제</strong> 보러가셨다가 여기... 이번에 <strong class=""hl"">종로한복축제</strong>가 9월17일부터 22일까지 인가 한다고 하니 시간되시는 분들은 축제도...</dd>"," <dd>21일 서울 대학로 마로니에 공원에서 열린 2019 <strong class=""hl"">종로한복축제</strong>에서 정세균 국회의원, 김영종 종로구청장, 유양순 종로구의회 의장 등이 행사에 참가하고 있다. 21일, 22일 양일간 열린 2019 <strong class=""hl"">종로한복축제</strong>는 우리의 고운...</dd>"
45,윤동주문학제," <dd class=""sh_blog_passage"">윤동주문학관입니다. 긴급히 <strong class=""hl"">윤동주문학제</strong>의 일정을 변경하게 되어 여러분께 공지드립니다. 이번 주 주말 태풍 경보로 인하여 많은 분들이 문학제 일정 변경이 있는지...</dd><dd class=""sh_blog_passage"">김영종 구청장은 “3·1운동 100주년을 맞아 올해 <strong class=""hl"">윤동주문학제</strong>를 개최하게 됐다. 윤동주문학관 일대에서 3일간 펼쳐지는 이번 문학제가 윤동주 시인의 아름다운...</dd>"," <dd>서울 종로구(구청장 김영종)는 6일부터 8일까지 윤동주문학관 일대에서 '2019 <strong class=""hl"">윤동주문학제</strong>'를 개최한다고 4일 밝혔다. 윤동주 문화제는 ▲3·1운동 100주년 기념 특별강연 ▲윤동주 문학토크 콘서트 ▲전국 청소년...</dd>"
46,서리풀페스티벌," <dd class=""sh_blog_passage"">반려견 음악 패션쇼 이번 <strong class=""hl"">서리풀 페스티벌</strong>의 슬로건~ 음악과 하나되다!에 걸맞게... 꾸꾸야, 우리 가족에게 와줘서 너무 고마워! 우리 내년에도 반려견 페스티벌가자~!</dd><dd class=""sh_blog_passage"">- 서초구 SNS 서포터즈 3기 유수경 - 2019 <strong class=""hl"">서리풀 페스티벌</strong>, 그 화려한 개막을... 이어, 유명 MC 김승현 님이 서리풀 축제 개막을 모든 주민들과 함께 선언해주시고, 본...</dd>"," <dd>서울 서초구(구청장 조은희)는 28일 반포대로에서 <strong class=""hl"">서리풀페스티벌</strong>의 대미를 장식할 1000명의 오케스트라, 한불음악축제, 일렉트로닉 댄스뮤직(EDM)파티 등의 폐막행사를 연다고 26일 밝혔다. 28일 오후 2시 1000명의...</dd>"
47,반포서래 한불음악축제," <dd class=""sh_blog_passage""><strong class=""hl"">반포</strong>본동, 1-2-3-4동이 2008년부터 한 해 거르고 9년째 주최하고 있는 <strong class=""hl"">한불음악축제</strong>의 오랜 팬(?)이어서 <strong class=""hl"">서래</strong>마을 집에서 걸어내려와 한강공원 세빛섬 옆 예빛섬 앞...</dd><dd class=""sh_blog_passage"">jsp 고속터미널에서 반포한강공원 가는길 저는 고속터미널에서 내려서 걸어서... 서초구 서래마을에서 프랑스 음악축제의 날에 맞추어 <strong class=""hl"">반포서래 한불음악축제</strong>를...</dd>"," <dd>이날 오후 7시부터는 <strong class=""hl"">반포</strong>대로 특설무대에서 '<strong class=""hl"">한불음악축제</strong>'도 열린다. 이번 <strong class=""hl"">축제</strong>를 위해 특별히 프랑스... 이들은 <strong class=""hl"">반포</strong>대로, 서초<strong class=""hl"">음악</strong>문화지구 악기거리, <strong class=""hl"">서래</strong>마을 몽마르뜨공원, 강남역 바람의언덕, 양재천...</dd>"
48,서초골 축제," <dd class=""sh_blog_passage"">2018 서초 서리풀페스티벌 악기거리<strong class=""hl"">축제</strong> &amp; <strong class=""hl"">서초골</strong> 음악회 문화와 예술의 도시 서초, 2018 서초 서리풀페스티벌에서 준비한 악기거리<strong class=""hl"">축제</strong>와 <strong class=""hl"">서초골</strong>음악회!...</dd><dd class=""sh_blog_passage""><strong class=""hl"">서초골</strong>음악회 서초교향악단, 윤도현 밴드 개막공연 ‘<strong class=""hl"">서초골</strong>음악회’ 21일 저녁 8시, <strong class=""hl"">축제</strong>의 열기를 이어 반포대로 특설무대에서 서리풀페스티벌의 개막공연인...</dd>"," <dd>'눈으로 듣는 음악<strong class=""hl"">축제</strong>'를 지향하는 올해는 초등학생부터 세계적인 전문가까지 무대를 꾸미고 전국화·세계화에 성큼 다가서는 모양새다. 나눔 친환경 등 <strong class=""hl"">축제</strong>문화를 선도하는 움직임도 보인다. '사운드 오브 서초'는...</dd><dd>이번 <strong class=""hl"">축제</strong>의 특징은 '눈으로 듣는 음악 <strong class=""hl"">축제</strong>'다. 정통 클래식부터 EDM까지 장르를 넘어선 다양한 음악들이... 반포대로 특설무대에서 대규모 거리콘서트, 서리풀페스티벌의 개막공연인 '<strong class=""hl"">서초골</strong>음악회'가 21일 오후 8시...</dd>"
49,정월대보름 달맞이행사," <dd class=""sh_blog_passage"">형식상 정월대보름을 지내는 분들이 많아졌습니다. 하지만 강원도 춘천에서는 2019 기해년 <strong class=""hl"">정월대보름 달맞이 행사</strong>를 맞이해서 공지천에 큰 행사를 열었습니다. 나름...</dd><dd class=""sh_blog_passage"">봉사자들&gt; <strong class=""hl"">행사</strong>장 한 켠에는 무료로 떡국과 돼지고기 수육, 김치를 나눠주어 참여한 시민들의 배를 든든하게 해주었고 구운 군밤이며 땅콩등 <strong class=""hl"">정월대보름</strong><strong class=""hl"">맞이</strong>...</dd>"," <dd>모레 <strong class=""hl"">정월대보름</strong>…도심 곳곳 <strong class=""hl"">달맞이 행사 정월대보름</strong>을 이틀 앞두고 곳곳에선 달집태우기와 쥐불놀이 같은 다양한 전통<strong class=""hl"">행사</strong>가 펼쳐지고 있는데요. 현장에 나가 있는 뉴스캐스터 연결해보겠습니다. 진수민 캐스터....</dd><dd>▲사진=2019 <strong class=""hl"">정월대보름</strong> 민속놀이 한마당 송파구는 오는 19일 서울놀이마당에서 밝은 <strong class=""hl"">달</strong> 아래, 달집을 태우며 한 해 소원을 비는 <strong class=""hl"">정월대보름 달맞이 행사</strong>를 진행 한다. <strong class=""hl"">정월 대보름</strong>은 한 해를 처음 시작하는 달로 달집을...</dd>"
50,잠원나루축제," <dd class=""sh_blog_passage""><strong class=""hl"">잠원나루 축제</strong>와 이포보 (2018.9.15.) 날씨가 흐리긴 하지만 가을나들이 하기에 딱... 운전 중이라 집사람이 대신 보도록 했더니, 아범이 준모하고 <strong class=""hl"">잠원나루 축제</strong>에...</dd><dd class=""sh_blog_passage"">&lt;앵커멘트&gt; 잠원동을 대표하는 축제, 바로 <strong class=""hl"">잠원나루축제</strong>입니다. 그간 친잠례 재현과 같이 잠원동의 특성을 살린 콘텐츠로 시선을 사로잡았다면, 이번에는 숲속을...</dd>"," <dd>경기도 광주시에 위치한 화담숲에서 '가을 화담숲 단풍 <strong class=""hl"">축제</strong>'가 지난 12일부터 다가오는 3일까지 열린다.... 은행나무가 많은 서울 숲, 왕벚나무가 있는 송파<strong class=""hl"">나루</strong> 공원, 느티나무와 플라타너스가 어우러진 서울대공원...</dd><dd>삼강주막 <strong class=""hl"">나루</strong>터 <strong class=""hl"">축제</strong>장을 찾은 관광객들도 막걸리와 전통음식을 맛보고 황포돛배와 절편 만들기를... 부산 방향 한남나들목∼<strong class=""hl"">잠원</strong>나들목 2.7㎞ 구간도 정체 중이다. 중부고속도로 하남 방향 서청주나들목 인근 6...</dd><dd>15일 오전 10시 잠원체육공원에서는 누에를 키워 비단실을 뽑던 '잠원'이라는 지역의 유래에서 시작된 '<strong class=""hl"">잠원나루 축제</strong>'가 진행된다. 잠원동의 역사성을 살려 누에 생태 체험관을 운영해 평소 보기 힘든 누에고치를 직접...</dd>"
51,행복내곡축제," <dd class=""sh_blog_passage"">「너를 위한 체육대회 - 따로 또 같이, 그리고 함께!」 <strong class=""hl"">내곡</strong>중학교에서는 11월 9일... 이렇게 <strong class=""hl"">행복</strong>하고 즐거운 체육<strong class=""hl"">축제</strong>가 막을 내렸습니다. 내년에 더 재미있게 만나요...</dd><dd class=""sh_blog_passage""><strong class=""hl"">행복내곡</strong>마을 송년회를 아시나요? 어린 아이부터 어르신들까지 모든 세대가 어울려... 어우러져 <strong class=""hl"">축제</strong>를 즐기는 모습에 마음한켠이 따뜻해짐을 느낄 수 있었습니다....</dd>"," <dd>▶시민에게 웃음 주는 일자리가 풍부한 <strong class=""hl"">행복</strong>청주 조성 민선 7기 1년간 일자리사업 분야에서는... 또 기업 판로확대와 실질적인 매출증가를 위해 청원생명<strong class=""hl"">축제</strong> 전시판매관 운영, 사회적 기업 역량강화 아카데미 등 기업...</dd><dd>④양재2․<strong class=""hl"">내곡</strong>권역 4개 권역을 중심으로 공공과 민간이 협업을 통해 주민 중심의 맞춤형 복지서비스를... 위해 「<strong class=""hl"">행복</strong>한 밥상 동행 나눔」사업을 하며 남성 독거 어르신들이 한달에 한번 모여 요리를 배우고 만든 음식을...</dd><dd>유곡2리·매곡면 <strong class=""hl"">내곡</strong>리 ▲오전 10시 271회 영동군의회 임시회, 의회 본회의장 ▲오전 10시 279회 제천시의회 임시회 본회의, 제천시의회 ▲오전 10시30분 괴산군 김장<strong class=""hl"">축제</strong> 보고회, 군수 집무실 ▲오전 10시30분...</dd>"
52,양재마을축제," <dd class=""sh_blog_passage"">2019년 서초단오마당 <strong class=""hl"">마을축제</strong> 즐거웠던 단오 주말<strong class=""hl"">축제</strong> 현장으로 가볼까요?^^ 올해로 4회째를 맞는 단오마당 입니다~ 4년차의 노하우로 그간 회의하고 체크하며 드디어...</dd><dd class=""sh_blog_passage"">2018 <strong class=""hl"">양재마을 축제</strong>현장 마을축제 음향렌탈 전문 창작마을 함께했습니다 현장으로 ㄱ ㄱ 음향장비 설치는 깔끔하게 오늘의 포인트 오케스트라 공연 준비!! 양재1동...</dd>"," <dd><strong class=""hl"">축제</strong>=경남 창원시 창원단감테마공원 ▷생활예술인 페어=서울 중구 동대문디자인플라자2관 ▷<strong class=""hl"">양재</strong>플라... 은행<strong class=""hl"">마을</strong> 단풍<strong class=""hl"">축제</strong>=충남 보령시 청라은행<strong class=""hl"">마을</strong>(28일까지) ▷기흥 할로윈 놀이터=경기 용인시...</dd><dd>지역 <strong class=""hl"">축제</strong>이다. 이 외의 지역은 ""전라/경상/충청남북 및 강원/제주"" 편에서 확인할 수 있다. ■ <strong class=""hl"">양재</strong>플라... 겨울<strong class=""hl"">마을</strong>인 원마운트 스노우파크를 배경으로 환상적인 마술공연인 '찰리 매직쇼'가 진행되며, 해당 기간...</dd><dd>거리에서 <strong class=""hl"">마을축제</strong> '시월의 선유'를 개최한다. 프리마켓, 노프라이스마켓, <strong class=""hl"">마을</strong>방송, 체험, 공연 등이... 서울시 동부공원녹지사업소는 오는 19일 오전 11시부터 오후 4시까지 '제4회 <strong class=""hl"">양재</strong> 시민의숲 가을<strong class=""hl"">축제</strong>'를 개최한다....</dd><dd>대추<strong class=""hl"">축제</strong> 기간 중에 도시민을 대상으로 운영하는 예비 귀농·귀촌인 학교에 도시민의 참여를 유도하기로 했다. 또한 2017년에 조성한 '속리산 숲체험 휴양<strong class=""hl"">마을</strong>'이 아름드리 소나무 숲속 대자연에서 심신수양과 건강을...</dd>"
53,서초마을교육문화축제," <dd class=""sh_blog_passage"">'2019 <strong class=""hl"">서초마을</strong> <strong class=""hl"">문화</strong>예술 공동체 <strong class=""hl"">축제</strong>'로 '마음모아 <strong class=""hl"">마을</strong>에서 놀자'라는 취지로 열린 행사였습니다. 이날 초가을의 따사로운 햇살과 시원한 바람이 불던 아주 이쁜...</dd><dd class=""sh_blog_passage"">[시정일보] <strong class=""hl"">서초</strong>구(구청장 조은희)는 ‘마음모아 <strong class=""hl"">마을</strong>에서 놀자‘라는 슬로건으로 2019 <strong class=""hl"">서초마을</strong> <strong class=""hl"">문화</strong>예술 공동체 <strong class=""hl"">축제</strong>를 오는 12일 10시부터 16시까지 양재근린공원에서...</dd>"," <dd>너리굴<strong class=""hl"">문화</strong><strong class=""hl"">마을</strong> 현장체험학습 용역 계약). ▲ 낙찰업체 : (주) 천일관광, 계약금액 : 440,000(원), 계약명 : 2019 충남 중고등학생 미술<strong class=""hl"">축제</strong> 전세 버스 임차. 계약기관 : 충청남도<strong class=""hl"">교육</strong>청 충청남도천안<strong class=""hl"">교육</strong>지원청...</dd><dd>이에 <strong class=""hl"">서초</strong>구는 영양군의 홍보대사로서 군의 대표<strong class=""hl"">축제</strong>와 장계향<strong class=""hl"">문화</strong>체험<strong class=""hl"">교육</strong>원, 영양국제밤하늘보호공원, 주실<strong class=""hl"">마을</strong>과 조지훈 문학관 등 관광명소를 수도권 사람들에게 널리 홍보해 나가기로 했다. 이달희 경북도...</dd><dd>선사<strong class=""hl"">문화</strong>를 <strong class=""hl"">교육</strong>, 놀이, 체험 등을 통해 배우고 즐기는 <strong class=""hl"">축제</strong>다. 세계의 선사<strong class=""hl"">문화</strong>를 체험을 통해 즐겁게 배워보는 세계구석기체험<strong class=""hl"">마을</strong>, 구석기인들의 삶을 1박 2일로 체험해보는 구석기힐링캠프, 구석기시대를...</dd><dd>이에 <strong class=""hl"">서초</strong>구는 영양군의 홍보대사로서 군의 대표<strong class=""hl"">축제</strong>와 장계향<strong class=""hl"">문화</strong>체험<strong class=""hl"">교육</strong>원, 영양국제밤하늘보호공원, 주실<strong class=""hl"">마을</strong>과 조지훈 문학관 등 관광명소를 수도권 사람들에게 널리 홍보해 나가기로 했다. 이달희 경북도...</dd><dd>이에 <strong class=""hl"">서초</strong>구는 영양군의 홍보대사로서 군의 대표<strong class=""hl"">축제</strong>와 장계향<strong class=""hl"">문화</strong>체험<strong class=""hl"">교육</strong>원, 영양국제밤하늘보호공원, 주실<strong class=""hl"">마을</strong>과 조지훈 문학관 등 관광명소를 수도권 사람들에게 널리 홍보해 나가기로 했다. 이달희 경북도...</dd><dd>이에 <strong class=""hl"">서초</strong>구는 영양군의 홍보대사로서 군의 대표<strong class=""hl"">축제</strong>와 장계향<strong class=""hl"">문화</strong>체험<strong class=""hl"">교육</strong>원, 영양국제밤하늘보호공원, 주실<strong class=""hl"">마을</strong>과 조지훈 문학관 등 관광명소를 수도권 사람들에게 널리 홍보해 나가기로 했다. 이달희 경북도...</dd>"
54,말죽거리축제," <dd class=""sh_blog_passage"">- 서초구 SNS 서포터즈 3기 박연희 - 내고향 말죽거리 말죽거리의 유래 양재역 4번... 다섯번째 <strong class=""hl"">말죽거리 축제</strong>에 대해 아쉽게도 행사기간에 태풍 링링이 와서 축제기간에...</dd><dd class=""sh_blog_passage"">기자는 11일 축제 4일차에 진행된 ‘<strong class=""hl"">말죽거리 축제</strong>’ 현장에 다녀왔다. 말죽거리는 현재 서초구 양재동 양재역 부근을 가리킨다. 이름에 관해서는 몇 가지 유래가...</dd>"," <dd>제 5회 <strong class=""hl"">말죽거리 축제</strong>의 하이라이트를 장식할 이번 퍼레이드에서는 뉴트로[새로움(new)+복고(retro)]라는 주제로 말 6필, 주민, 인근상인, 어린이 100여명이 다양한 테마를 가지고 퍼레이드에 나선다. 특히 영화 말죽거리...</dd><dd><strong class=""hl"">축제</strong>에는 생산자 단체인 안동산약마·생강연합회와 우리음식연구회, 우리음식사랑회, 안동<strong class=""hl"">축제</strong>관광재단 등 40여 기관·단체에서 참여·후원한다. 26일 개막일에는 '안동역에서' 가수 진성과 '<strong class=""hl"">말죽거리</strong> 잔혹사' 배우...</dd>"
55,우솔마을 축제," <dd class=""sh_blog_passage"">*2018.10.27.(토) 10:00 *제8회 서초구청장기 검도대회, 청계산 단풍축제, 제4회 <strong class=""hl"">우솔마을축제</strong>, 탁구 *서초종합체육관, 청계산 근린광장, 서울우솔초등학교 한국탁구클럽...</dd><dd class=""sh_blog_passage"">새로운 터전에서 하나 되다 '<strong class=""hl"">우솔마을축제</strong>' &lt;앵커멘트&gt; 지난 2012년 12월 1단지... "" 청명한 가을 날씨는 덤으로 챙긴 마을축제. 입주 5년을 넘어선 공공주택지구에 마을...</dd>"," <dd>▲ 낙찰업체 : <strong class=""hl"">우솔</strong> 건축사사무소, 계약금액 : 9,000,000(원), 계약명 : 하늘빛초외 1교(김포호수초)... ▲ 낙찰업체 : (주)대호관광, 계약금액 : 275,000(원), 계약명 : 충남 미술<strong class=""hl"">축제</strong> 참가 버스 임차. 계약기관...</dd><dd>매일 밤 <strong class=""hl"">마을</strong>에서 <strong class=""hl"">축제</strong>가 벌어지던 어느 날 도깨비나라에서 스타 발굴 서바이벌 오디션 '슈퍼스타U'가... 무대에는 <strong class=""hl"">우솔</strong>, 별하, 바우, 초롱, 마루 등 5명의 도깨비와 앙상블 8명, 연주단 10명이 오른다. 한편 국악연주단...</dd><dd>그래서 매일 밤 우시산도깨비 <strong class=""hl"">마을</strong>에는 <strong class=""hl"">축제</strong>가 열린다. 어느 날 도깨비나라에서 스타를 발굴해 내는... '<strong class=""hl"">우솔</strong>', '별하', '바우', '초롱', '마루'라는 이름을 가진 5명의 도깨비와 퍼포먼스, 댄스를 보여주는 앙상블로 8명의...</dd><dd>안창새뜰<strong class=""hl"">마을</strong> 소방도로 개설공사 지장물 석면조사). ▲ 낙찰업체 : 주식회사뉴동명관광, 계약금액 : 165,000(원), 계약명 : 제21회 충남학생연극<strong class=""hl"">축제</strong> 천안지역 발표회 참가 전세버스 임차 계약. 계약기관...</dd><dd>▲ 낙찰업체 : <strong class=""hl"">우솔</strong> 건축사사무소, 계약금액 : 6,037,200(원), 계약명 : 소새울유치원 물탱크실 증축공사... ▲ 낙찰업체 : 주식회사 우리기획, 계약금액 : 14,850,000(원), 계약명 : 2019 DMZ펀치볼 시래기<strong class=""hl"">축제</strong> (주)우리기획...</dd><dd>▲ 낙찰업체 : 한국문헌정보기술 주식회사, 계약금액 : 107,360,000(원), 계약명 : 새<strong class=""hl"">마을</strong>운동 기록물 온... ▲ 낙찰업체 : 주식회사 엔터테인먼트투엠, 계약금액 : 21,900,000(원), 계약명 : DGIST 학생<strong class=""hl"">축제</strong> 무대 및 부대시설...</dd><dd>또, 양재1동 우솔초등학교에서는 우솔지역 발전위원회 주관으로 <strong class=""hl"">우솔마을축제</strong>가 개최돼 단지별 체육대회, 노래자랑, 바자회, 어린이 놀이문화 체험 등 행사가 열릴 예정이다. 서초 보금자리 축제 준비 운영진인 너나울...</dd>"
56,"여의천 문화축제
(前 청계산단풍축제)"," <dd class=""sh_blog_passage"">서초구 <strong class=""hl"">여의천 문화축제 ( 前 청계산단풍축제 )</strong> 10 월 중 ○전통문화 체험행사 ( 부대행사 , 먹거리 장터 등 ) 여의천 일대 도봉구 도봉구 방학천 등축제 10 월 중...</dd><dd class=""sh_blog_passage"">분당선 양재시민의 숲역(매헌역) 5번 출구로 나와 여의교에 오르면 <strong class=""hl"">여의천</strong>을 따라... 벚꽃 <strong class=""hl"">축제)</strong> (0) 2019.04.06 <strong class=""hl"">청계산</strong> 매봉 등산로의 가을<strong class=""hl"">단풍</strong> 풍경을 바라보면서 (0) 2018....</dd>", 
57,악기거리축제," <dd class=""sh_blog_passage""><strong class=""hl"">악기거리 축제</strong>가 서초동에서 있었습니다. 전국 유일의 음악문화지구로 지정된... 공연 외에 거리 곳곳에서는 악기 관련 벼룩시장과 체험행사 등 다양한 볼거리로 축제를...</dd><dd class=""sh_blog_passage"">서초동 축제 소식을 나누고자 합니다. 정오의 음악회 '서초악기거리 스캔들' 이라는... 학생들이 <strong class=""hl"">악기거리 축제</strong>로 총 출동하였습니다! ☀️9월의 햇볕이 뜨겁게 내리쬐던...</dd>"," <dd>타악 <strong class=""hl"">악기</strong> 등 다양한 공연과 냉장고, TV, 제주애월리조트권, 여행상품권, 자전거 등 경품으로 참여자들의... 즐길<strong class=""hl"">거리</strong>를 제공했다. 행사에 참석, 관광객들과 함께한 윤화섭 시장은 “대부해솔길 걷기<strong class=""hl"">축제</strong>는 대부도의...</dd><dd>열리는 <strong class=""hl"">축제</strong>에서는 제주 돔베고기를 비롯해 해물파전, 국수 등 향토음식 먹<strong class=""hl"">거리</strong> 장터를 즐길 수 있다. 수익금은 도내 어려운 이웃을 위해 쓰인다.  시장 곳곳에서는 각설이와 노래, <strong class=""hl"">악기</strong> 등 다양한 공연과 함께 경품...</dd><dd><strong class=""hl"">축제</strong>기간 동안에는 매일 오전 10시부터 오후 8시까지 프린지공연, 프리마켓, 길<strong class=""hl"">거리</strong>음식<strong class=""hl"">축제</strong>, 참가국별... 퍼레이드에서는 해군 취타대가 선두에 서며, 14개국 2000여명이 자국의 전통의상을 입고 춤과 노래, <strong class=""hl"">악기</strong>를...</dd><dd>볼<strong class=""hl"">거리</strong>를 선사할 예정이다. ◇마을에서 혁신을 노출하다 ‘노원 혁신교육 박람회’ 같은 날 오전 10시부터는 청소년 <strong class=""hl"">축제</strong> ‘노출’과 함께 혁신교육 사업의 방향과 성과를 공유하고 주민들에게 혁신교육의 가치를 알릴...</dd><dd><strong class=""hl"">축제</strong>기간 동안에는 매일 오전 10시부터 오후 8시까지 프린지공연, 프리마켓, 길<strong class=""hl"">거리</strong>음식<strong class=""hl"">축제</strong>, 참가국별... 노래, <strong class=""hl"">악기</strong>를 연주하며 행진한다. 용지문화공원 주무대에서 출발해 최윤덕 동상, 창원시청, 성산아트홀을 지나...</dd><dd>ⓒ서초구 서울 서초구(구청장 조은희)는 서리풀페스티벌의 일환으로 오는 26일 대한민국 클래식의 메카이자 국내 유일의 음악문화지구로 지정된 서초 악기거리 일대 및 신중어린이공원에서 <strong class=""hl"">악기거리축제</strong>를 연다고 25일...</dd>"
58,방배비보이페스티벌," <dd class=""sh_blog_passage"">도전의 <strong class=""hl"">방배 비보이 페스티벌</strong> 2019 서리풀페스티벌에서 준비한 비보이 댄스... 비보이, 공방체험, 인터넷중독자가진단 등 축하공연 - 동덕여고 DYS (방배동...</dd><dd class=""sh_blog_passage"">2019 서초구 서리풀페스티벌 ""<strong class=""hl"">방배 비보이 페스티벌</strong>"" 갬블러크루 초청공연!... 2016년, 울산썸머워즈 비보이 페스티벌 우승 여성가족부 장관상 수상 2016년...</dd>"," <dd>22일 오후 서울 서초구 동덕여자고등학교 체육관에서 열린 '제3회 <strong class=""hl"">방배 비보이 페스티벌</strong>'에 참여한 댄스팀이 공연을 펼치고 있다.</dd><dd>매년 강력한 라인업을 선보이는 <strong class=""hl"">방배비보이페스티벌</strong>은 22일 오후 3시 방배 뒷벌어린이공원에서 열린다. 미국 NBC '아메리카 갓 탤런트'에 출전하고 평창 동계올림픽 개막식을 장식한 가장 핫한 비보이 그룹 '저스트절크...</dd>"
59,서초단오마당," <dd class=""sh_blog_passage"">내실있는 <strong class=""hl"">서초단오마당</strong>이 되고자 머리를 맞대고 고민했네요^^* 올해는 양재1동 주민자치위원회의 도움을 받아 단오마당이 잘 진행됐습니다~ 전날 사전작업을 위해 책상...</dd><dd class=""sh_blog_passage"">하는 서초 단오 행사가 열렸습니다. 예년처럼 가배울은 수리취 떡을 맡았어요.... 여유있게 펼쳐진 2019 <strong class=""hl"">서초단오마당</strong> 4년째 내공이 느껴진 편안한 마을 축제였습니다.</dd>"," <dd>[ 서초구가 4대 명절 중 하나인 단오(음력 5월5일, 양력 6월18일)를 앞두고 16일 오전 11시부터 오후 1시까지 양재시민의 숲에서 창포물에 머리감기 등 세시풍속을 체험하는 ‘<strong class=""hl"">서초단오마당</strong>’을 연다. ‘<strong class=""hl"">서초단오마당</strong>’...</dd><dd>■ 전주 <strong class=""hl"">단오</strong> 2019(6.7~6.8, 전라북도 전주시) <strong class=""hl"">단오</strong>(음력 5월 5일)를 맞아 전주에서는 <strong class=""hl"">단오</strong>축제 <strong class=""hl"">마당</strong>이... ■ 프리미엄펫쇼 2019(6.7~6.9, 서울특별시 <strong class=""hl"">서초</strong>구) 올해 행사는 사료, 간식, 의류, 미용 등 반려동물 용품 전시와...</dd><dd>지난해 열린 <strong class=""hl"">서초단오마당</strong> 행사장 전경(사진제공=서초구청) 고무줄등 전통놀이체험 다채 전통 떡 만들기 프로도 마련    [시민일보=이대우 기자]서울 서초구가 4대 명절 중 하나인 단오(음력 5월 5일)를 맞아...</dd><dd>= 서울 서초구(구청장 조은희)는 우리나라 4대 명절 중 하나인 단오를 앞두고 20일 낮 12시 양재시민의 숲에서 주민들이 직접 기획한 '<strong class=""hl"">서초단오마당</strong>'을 연다. 이날 행사에선 창포물에 머리감기, 무병장수를 기원하는...</dd>"
60,201. 도봉산 국제 페스9티벌," <dd class=""sh_blog_passage"">체험행사 <strong class=""hl"">도봉산</strong> 서대문구 신촌댄스경연대회 <strong class=""hl"">9</strong>.28.~<strong class=""hl"">9</strong>.29. 일반부 / 학생부 참가자들의 창작댄스 경연대회 광장 마포구 서울와우북<strong class=""hl"">페스</strong><strong class=""hl"">티벌</strong> <strong class=""hl"">9</strong> 월 중...</dd><dd class=""sh_blog_passage"">03(일) 강원 정선군 민둥산 <strong class=""hl"">9</strong> 제7회 홍천 단호박 축제 2013.10.05(토) ~ 2013.... 06(일) 경기 가평군 아침고요수목원 135 제10회 자라섬<strong class=""hl"">국제</strong>재즈<strong class=""hl"">페스</strong><strong class=""hl"">티벌</strong>...</dd>", 
